id,name,sort_name,type,gender,country,life_span_begin,life_span_end,disambiguation,score
3af06bc4-68ad-4cae-bb7a-7eeeb45e411f,Duke Ellington,"Ellington, Duke",Person,male,US,1899-04-29,1974-05-24,"US composer, pianist & jazz bandleader",76
bd13909f-1c29-4c27-a874-d4aaf27c5b1a,Fleetwood Mac,Fleetwood Mac,Group,,GB,1967-07,,,76
dcb03ce3-67a5-4eb3-b2d1-2a12d93a38f3,B.B. King,"King, B.B.",Person,male,US,1925-09-16,2015-05-14,,76
a8d5807f-6dd9-4967-b2dd-b2c10765b34f,Simon Jäger,"Jäger, Simon",Person,male,DE,1972-03-16,,German voice actor,76
f2903be0-79a7-4334-8cc5-e45309482a97,George Jones,"Jones, George",Person,male,US,1931-09-12,2013-04-26,US country music vocalist,75
5a28f8c2-31fb-4047-ae57-c5c326989262,Hawkwind,Hawkwind,Group,,GB,1969-10,,,75
668fd73c-bf54-4310-a139-305517f05311,Willie Nelson,"Nelson, Willie",Person,male,US,1933-04-29,,,75
7b353d3c-2bd9-40e3-a21d-b7da3f941339,Glenn Miller,"Miller, Glenn",Person,male,US,1904-03-01,1944-12-15,jazz band leader,75
096379c3-88c9-4109-87ae-a9ee1a8b539d,Andreas Eschbach,"Eschbach, Andreas",Person,male,DE,1959-09-15,,German writer,75
013c8e5b-d72a-4cd3-8dee-6c64d6125823,Edvard Grieg,"Grieg, Edvard",Person,male,NO,1843-06-15,1907-09-04,composer,75
e6de1f3b-6484-491c-88dd-6d619f142abc,Hans Zimmer,"Zimmer, Hans",Person,male,US,1957-09-12,,German score composer,75
4365b851-0ce4-42d1-9dc7-858d74fe644c,Dietmar Wunder,"Wunder, Dietmar",Person,male,DE,1965-12-05,,,75
ba550d0e-adac-4864-b88b-407cab5e76af,Paul McCartney,"McCartney, Paul",Person,male,GB,1942-06-18,,The Beatles,75
b7ffd2af-418f-4be2-bdd1-22f8b48613da,Nine Inch Nails,Nine Inch Nails,Group,,US,1988,,,75
0bbbc496-c7b5-4b3f-bb6d-bd312827d6e5,Roy Orbison,"Orbison, Roy",Person,male,US,1936-04-23,1988-12-06,,75
79239441-bfd5-4981-a70c-55c3f15c1287,Madonna,Madonna,Person,female,US,1958-08-16,,“Queen of Pop”,75
2944824d-4c26-476f-a981-be849081942f,Nina Simone,"Simone, Nina",Person,female,US,1933-02-21,2003-04-21,,75
0b7ee619-16ed-4e60-b871-6a2111c12b76,James Last,"Last, James",Person,male,DE,1929-04-17,2015-06-09,"German big band leader & composer, 1929–2015",75
20ff3303-4fe2-4a47-a1b6-291e26aa3438,James Brown,"Brown, James",Person,male,US,1933-05-03,2006-12-25,The Godfather of Soul,75
534ee493-bfac-4575-a44a-0ae41e2c3fe4,Rush,Rush,Group,,CA,1968-08,2018-01-19,Canadian rock trio,75
db758363-1ad0-4d2b-ab0a-49379419105c,Marc Gruppe,"Gruppe, Marc",Person,male,DE,1974-01-28,,playwright and screenwriter of audio plays,75
b38225b8-8e5f-42aa-bcdc-7bae5b5bdab3,King Crimson,King Crimson,Group,,GB,1968-11-30,2021,,75
600b52ff-d1b2-4913-b284-c4cdbcc170ef,Stefan Kaminski,"Kaminski, Stefan",Person,male,,1974-06-06,,"German actor, audiobook speaker and author",75
